2021-06-16 10:25:54,085 INFO     Starting server at tcp:port=5000:interface=127.0.0.1
2021-06-16 10:25:54,087 INFO     HTTP/2 support not enabled (install the http2 and tls Twisted extras)
2021-06-16 10:25:54,087 INFO     Configuring endpoint tcp:port=5000:interface=127.0.0.1
2021-06-16 10:25:54,088 INFO     Listening on TCP address 127.0.0.1:5000
2021-06-16 11:02:10,854 WARNING  Application instance <Task pending name='Task-11' coro=<ProtocolTypeRouter.__call__() running at /home/sma/.local/lib/python3.8/site-packages/channels/routing.py:71> wait_for=<Future pending cb=[<TaskWakeupMethWrapper object at 0x7f658b6b3790>()]>> for connection <WebSocketProtocol client=['127.0.0.1', 35526] path=b'/ws/prevaluation/'> took too long to shut down and was killed.
2021-06-16 11:02:39,930 WARNING  Application instance <Task pending name='Task-29' coro=<ProtocolTypeRouter.__call__() running at /home/sma/.local/lib/python3.8/site-packages/channels/routing.py:71> wait_for=<Future pending cb=[<TaskWakeupMethWrapper object at 0x7f658b694f70>()]>> for connection <WebSocketProtocol client=['127.0.0.1', 36016] path=b'/ws/prevaluation/'> took too long to shut down and was killed.
2021-06-16 11:02:45,948 WARNING  Application instance <Task pending name='Task-32' coro=<ProtocolTypeRouter.__call__() running at /home/sma/.local/lib/python3.8/site-packages/channels/routing.py:71> wait_for=<Future pending cb=[<TaskWakeupMethWrapper object at 0x7f658b688850>()]>> for connection <WebSocketProtocol client=['127.0.0.1', 36050] path=b'/ws/prevaluation/'> took too long to shut down and was killed.
2021-06-16 11:19:29,649 WARNING  Application instance <Task pending name='Task-52' coro=<ProtocolTypeRouter.__call__() running at /home/sma/.local/lib/python3.8/site-packages/channels/routing.py:71> wait_for=<Future pending cb=[<TaskWakeupMethWrapper object at 0x7f659805ae20>()]>> for connection <WebSocketProtocol client=['127.0.0.1', 42362] path=b'/ws/prevaluation/'> took too long to shut down and was killed.
127.0.0.1:60954 - - [16/Jun/2021:13:33:16] "GET /management/api/v1/overview/allocate/avg/?portCode=SA5001&start=&end=" 200 262
127.0.0.1:60950 - - [16/Jun/2021:13:33:16] "GET /management/api/v1/overview/?portCode=SA5001" 200 7239
127.0.0.1:60962 - - [16/Jun/2021:13:33:16] "GET /management/api/v1/overview/questionnairy/?portCode=SA5001" 200 478
127.0.0.1:60940 - - [16/Jun/2021:13:33:17] "WSDISCONNECT /ws/prevaluation/" - -
127.0.0.1:60984 - - [16/Jun/2021:13:33:18] "GET /management/api/v1/analysis/performance/?date=2021-06-16&portCode=SA5001" 200 893
127.0.0.1:60986 - - [16/Jun/2021:13:33:18] "GET /management/api/v1/analysis/attribute/?portCode=SA5001&date=2021-06-16" 200 250
127.0.0.1:32784 - - [16/Jun/2021:13:33:21] "GET /management/api/v1/analysis/fundholding/?portCode=SA5001&date=2021-06-16" 200 23371
127.0.0.1:42444 - - [16/Jun/2021:13:43:57] "WSCONNECTING /ws/prevaluation/" - -
127.0.0.1:42444 - - [16/Jun/2021:13:43:57] "WSCONNECT /ws/prevaluation/" - -
127.0.0.1:42446 - - [16/Jun/2021:13:43:57] "GET /management/api/v1/overview/allocate/?portCode=PFF003" 200 288
127.0.0.1:42448 - - [16/Jun/2021:13:43:57] "GET /management/api/v1/overview/allocate/history/?portCode=PFF003" 200 10810
127.0.0.1:42450 - - [16/Jun/2021:13:43:57] "GET /management/api/v1/overview/compare/?portCode=PFF003" 200 5622
127.0.0.1:42452 - - [16/Jun/2021:13:43:57] "GET /management/api/v1/overview/?portCode=PFF003" 200 3655
127.0.0.1:42456 - - [16/Jun/2021:13:43:57] "GET /management/api/v1/overview/questionnairy/?portCode=PFF003" 200 312
127.0.0.1:42454 - - [16/Jun/2021:13:43:57] "GET /management/api/v1/overview/pos/?portCode=PFF003" 200 11170
127.0.0.1:42466 - - [16/Jun/2021:13:43:57] "GET /management/api/v1/overview/allocate/avg/?portCode=PFF003&start=&end=" 200 259
127.0.0.1:42444 - - [16/Jun/2021:13:43:59] "WSDISCONNECT /ws/prevaluation/" - -
127.0.0.1:42496 - - [16/Jun/2021:13:43:59] "GET /management/api/v1/analysis/performance/?date=2021-06-16&portCode=PFF003" 200 900
127.0.0.1:42498 - - [16/Jun/2021:13:43:59] "GET /management/api/v1/analysis/attribute/?portCode=PFF003&date=2021-06-16" 200 246
127.0.0.1:42534 - - [16/Jun/2021:13:44:01] "GET /management/api/v1/capital/category/" 200 674
127.0.0.1:42772 - - [16/Jun/2021:13:44:37] "GET /management/api/v1/capital/?category=%E6%9C%89%E8%89%B2%E9%87%91%E5%B1%9E&date=" 200 9510
127.0.0.1:42898 - - [16/Jun/2021:13:44:40] "GET /management/api/v1/capital/?category=%E9%92%A2%E9%93%81&date=" 200 9385
127.0.0.1:43808 - - [16/Jun/2021:13:45:25] "GET /management/api/v1/capital/?category=%E6%9C%89%E8%89%B2%E9%87%91%E5%B1%9E&date=" 200 9510
127.0.0.1:50916 - - [16/Jun/2021:14:56:24] "GET /management/api/v1/basic/all/" 200 1178
127.0.0.1:50920 - - [16/Jun/2021:14:56:24] "GET /management/api/v1/cta/" 200 816
127.0.0.1:50918 - - [16/Jun/2021:14:56:24] "GET /management/api/v1/basic/announcement/?num=6" 200 1223
127.0.0.1:50926 - - [16/Jun/2021:14:56:24] "GET /management/api/v1/basic/all/" 200 1178
127.0.0.1:50948 - - [16/Jun/2021:14:56:25] "WSCONNECTING /ws/prevaluation/" - -
127.0.0.1:50948 - - [16/Jun/2021:14:56:25] "WSCONNECT /ws/prevaluation/" - -
127.0.0.1:50950 - - [16/Jun/2021:14:56:26] "GET /management/api/v1/overview/allocate/?portCode=PFF005" 200 287
127.0.0.1:50952 - - [16/Jun/2021:14:56:26] "GET /management/api/v1/overview/allocate/history/?portCode=PFF005" 200 5140
